Myoprocta acouchy
Hydrochoerus hydrochaeris
Cavia porcellus
Callithrix jacchus
Cebus capucinus
Saimiri sciureus
Ateles paniscus
Ateles belzebuth
Cercopithecus mona
Macaca radiata
Macaca mulatta
Macaca nemestrina
Pongo pygmaeus
Homo sapiens
Pan troglodytes
Indri indri
Orycteropus afer
Loxodonta africana
Elephas maximus
Dasypus novemcinctus
Bradypus tridactylus
Choloepus didactylus
Tachyglossus aculeatus
Ornithorhynchus anatinus
Dromaius novaehollandiae
Apteryx australis
Callipepla californica
Gallus gallus
Pavo muticus
Argusianus argus
Lagopus lagopus
Lagopus muta
Tetrao urogallus
Lyrurus tetrix tetrix
Perdix perdix
Lophura nycthemera
Chrysolophus pictus
Phasianus colchicus
Pternistis capensis
Coturnix japonica
Crax rubra
Penelope montagnii
Tadorna tadorna
Tadorna ferruginea
Dendrocygna arcuata
Biziura lobata
Oxyura leucocephala
Cygnus cygnus
Cygnus atratus
Cygnus olor
Anser cygnoides
Branta bernicla
Cereopsis novaehollandiae
Coscoroba coscoroba
Anas zonorhyncha
Melanitta nigra
Mergellus albellus
Bucephala clangula
Aythya marila
Mareca strepera
Anas acuta
Anas platyrhynchos
Chlamydotis undulata undulata
Tachybaptus ruficollis
Podiceps cristatus
Columba palumbus
Ducula badia
Ptilinopus magnificus
Ptilinopus melanospilus
Goura cristata
Pterocles orientalis
Burhinus oedicnemus
Haematopus ostralegus
Vanellus vanellus
Pluvialis squatarola
Pluvialis apricaria
Fratercula arctica
Uria aalge
Chroicocephalus ridibundus
Sterna paradisaea
Sterna hirundo
Rynchops niger
Alca torda
Glareola pratincola
Numenius arquata
Limosa lapponica
Tringa nebularia
Arenaria interpres
Calidris canutus
Calidris pugnax
Scolopax rusticola
Gallinago gallinago
Jacana spinosa
Attagis gayi
Gavia stellata
Ciconia ciconia
Pelecanus conspicillatus
Plegadis falcinellus
Platalea leucorodia
Threskiornis melanocephalus
Diomedea exulans
Macronectes giganteus
Oceanites oceanicus
Aptenodytes forsteri
Eudyptes schlegeli
Spheniscus humboldti
Eudyptula minor
Psophia viridis
Fulica atra
Gallinula chloropus
Melopsittacus undulatus
Arremon semitorquatus
Chlorophonia cyanocephala
Catharus minimus
Chloris sinica
Orthogonys chloricterus
Motacilla alba alba
Hemithraupis flavicollis
Trichothraupis melanops
Parkerthraustes humeralis
Neothraupis fasciata
Thraupis ornata
Tangara seledon
Saltator coerulescens
Cissa thalassina
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Corvus frugilegus
Corvus corone
Corvus corax
Parus major
Alauda arvensis
Hirundo rustica
Heteralocha acutirostris
Pyrrhocorax graculus
Cariama cristata
Accipiter gentilis
Otus sunia
Upupa epops
Alligator mississippiensis
Crocodylus siamensis
Podocnemis expansa
Pelusios castaneus
Chelus fimbriata
Pelodiscus sinensis
Apalone spinifera
Pelochelys bibroni
Carettochelys insculpta
Trachemys scripta
Chrysemys picta
Emys orbicularis
Terrapene ornata
Clemmys guttata
Glyptemys muhlenbergii
Platysternon megacephalum
Gopherus polyphemus
Testudo graeca
Chelonoidis niger
Chelonoidis carbonarius
Caretta caretta
Lepidochelys kempii
Eretmochelys imbricata
Chelonia mydas
Dermochelys coriacea
Chelydra serpentina
Macrochelys temminckii
Kinosternon flavescens
Kinosternon sonoriense
Kinosternon integrum
Sphenodon punctatus
Adolfus jacksoni
Tupinambis teguixin
Chamaeleo calyptratus
Archaius tigris
Chlamydosaurus kingii
Lophosaurus dilophus
Moloch horridus
Hydrosaurus amboinensis
Draco volans
Gonocephalus chamaeleontinus
Trapelus agilis
Acanthocercus annectans
Uromastyx aegyptia
Dipsosaurus dorsalis
Iguana iguana
Uta stansburiana
Urosaurus ornatus
Phrynosoma solare
Phrynosoma mcallii
Phrynosoma taurus
Phrynosoma cornutum
Corytophanes cristatus
Anolis agassizi
Anolis eulaemus
Anolis coelestinus
Gambelia wislizenii
Crotaphytus vestigium
Crotaphytus collaris
Uranoscodon superciliosus
Heloderma suspectum
Abronia graminea
Anguis fragilis
Shinisaurus crocodilurus
Lanthanotus borneensis
Varanus salvator
Varanus niloticus
Acrochordus granulatus
Gloydius himalayanus
Bothrops bilineatus
Bothrops asper
Crotalus atrox
Crotalus tigris
Vipera berus berus
Thamnophis elegans
Xenochrophis vittatus
Xenodon pulcher
Hypsiglena torquata
Dasypeltis scabra
Boiga dendrophila
Bogertophis subocularis
Lampropeltis rhombomaculata
Lampropeltis getula
Coluber constrictor
Enhydris chanardi
Boaedon fuliginosus
Leioheterodon geayi
Micrurus fulvius
Ahaetulla prasina
Python molurus
Lichanura trivirgata
Boa constrictor constrictor
Epicrates cenchria
Lepidophyma flavimaculatum
Corucia zebrata
Trachylepis perrotetii
Chioninia coctei
Gehyra marginata
Gekko gecko
Gekko japonicus
Goniurosaurus lichtenfelderi
Lialis burtonis
Lialis jicari
Aprasia repens
